H,V,L,F,fla,Tree,name,absPAR,absNIR,absTherm,totPs,netPs,totRf,totLE1,totLE2,totH
15,0,0.44,1,27,76,H15_V0_L0.44_F1_fla27,109.9015,27.8091,23.1745,11.4105,10.7025,0.708,1287.7738,9.0066,89.1671
15,0,0.44,1,27,77,H15_V0_L0.44_F1_fla27,109.9013,27.809,23.1745,11.4105,10.7025,0.708,1288.256,9.0066,89.1454
15,0,0.44,1,27,78,H15_V0_L0.44_F1_fla27,109.9013,27.809,23.1745,11.4105,10.7025,0.708,1288.2528,9.0065,89.1455
15,0,0.44,1,27,79,H15_V0_L0.44_F1_fla27,109.9014,27.8091,23.1745,11.4105,10.7025,0.708,1287.7678,9.0065,89.1673
15,0,0.44,1,27,90,H15_V0_L0.44_F1_fla27,109.8946,27.8132,23.167,11.4103,10.7023,0.708,1288.2257,9.0064,89.1413
15,0,0.44,1,27,91,H15_V0_L0.44_F1_fla27,109.8736,27.8239,23.146,11.4097,10.7017,0.708,1288.6141,9.0059,89.1057
15,0,0.44,1,27,92,H15_V0_L0.44_F1_fla27,109.8736,27.8239,23.146,11.4097,10.7017,0.708,1288.6102,9.0059,89.1059
15,0,0.44,1,27,93,H15_V0_L0.44_F1_fla27,109.8945,27.8132,23.167,11.4103,10.7023,0.708,1288.2198,9.0064,89.1415
15,0,0.44,1,27,104,H15_V0_L0.44_F1_fla27,109.9028,27.8093,23.1745,11.4105,10.7026,0.708,1287.8772,9.0066,89.164
15,0,0.44,1,27,105,H15_V0_L0.44_F1_fla27,109.8985,27.8112,23.1708,11.4104,10.7024,0.708,1288.2593,9.0065,89.1432
15,0,0.44,1,27,106,H15_V0_L0.44_F1_fla27,109.8985,27.8112,23.1708,11.4104,10.7024,0.708,1288.256,9.0065,89.1434
15,0,0.44,1,27,107,H15_V0_L0.44_F1_fla27,109.9027,27.8093,23.1745,11.4105,10.7026,0.708,1287.8723,9.0066,89.1642
15,0,0.44,1,27,118,H15_V0_L0.44_F1_fla27,109.8969,27.8081,23.1745,11.4103,10.7024,0.708,1287.8295,9.0064,89.1591
15,0,0.44,1,27,119,H15_V0_L0.44_F1_fla27,109.8879,27.8118,23.167,11.41,10.7021,0.708,1288.0237,9.0062,89.1423
15,0,0.44,1,27,120,H15_V0_L0.44_F1_fla27,109.8879,27.8118,23.167,11.41,10.7021,0.708,1288.0231,9.0062,89.1424
15,0,0.44,1,27,121,H15_V0_L0.44_F1_fla27,109.8969,27.8081,23.1745,11.4103,10.7024,0.708,1287.8241,9.0064,89.1593
15,0,1.521,1,27,271,H15_V0_L1.521_F1_fla27,99.2375,25.8839,24.8762,10.9766,10.2686,0.708,834.6711,29.9508,97.9788
15,0,1.521,1,27,272,H15_V0_L1.521_F1_fla27,99.2375,25.8839,24.8762,10.9765,10.2686,0.708,834.8937,29.9508,97.9689
15,0,1.521,1,27,273,H15_V0_L1.521_F1_fla27,99.2375,25.8839,24.8762,10.9766,10.2686,0.708,834.9607,29.9508,97.9659
15,0,1.521,1,27,274,H15_V0_L1.521_F1_fla27,99.2375,25.8839,24.8762,10.9765,10.2686,0.708,834.9583,29.9508,97.966
15,0,1.521,1,27,275,H15_V0_L1.521_F1_fla27,99.2375,25.8839,24.8762,10.9766,10.2686,0.708,834.8896,29.9508,97.9691
