"","H","V","L","F","fla","Tree","name","absPAR","absNIR","absTherm","totPs","netPs","totRf","totLE1","totLE2","totH"
"1",15,0.1,2.916,0.01,0.1,666,"H15_V0.1_L2.916_F0.01_fla0.1",0.230333333333333,0.0657666666666667,0.104333333333333,0.0338,0.0311666666666667,0.0026,1.70693333333333,0.177,0.264533333333333
"2",15,0.1,2.916,0.01,0.5,666,"H15_V0.1_L2.916_F0.01_fla0.5",1.1466,0.328233333333333,0.521166666666667,0.1686,0.1555,0.0131,8.52816666666667,0.883166666666667,1.31706666666667
"3",15,0.1,2.916,0.01,1,666,"H15_V0.1_L2.916_F0.01_fla1",2.28083333333333,0.654866666666667,1.04083333333333,0.3363,0.3101,0.0262,17.0419666666667,1.7616,2.62013333333333
"4",15,0.1,2.916,0.01,10,666,"H15_V0.1_L2.916_F0.01_fla10",20.6858333333333,6.22533333333333,10.8565,3.20996666666667,2.94776666666667,0.2622,167.6299,16.7644666666667,24.2210666666667
"5",15,0.1,2.916,0.01,20,666,"H15_V0.1_L2.916_F0.01_fla20",37.4125333333333,11.8429666666667,21.5677,6.09706666666667,5.57266666666667,0.5244,329.9435,31.7206,44.1119666666667
"6",15,0.1,2.916,0.01,40,666,"H15_V0.1_L2.916_F0.01_fla40",62.1570666666667,21.4946,44.4602666666667,10.977,9.92816666666667,1.0488,636.239133333333,56.7213,75.5324333333333
"7",15,0.1,2.916,0.15,0.1,666,"H15_V0.1_L2.916_F0.15_fla0.1",0.233766666666667,0.0665666666666667,0.1042,0.0340333333333333,0.0314333333333333,0.0026,1.70816666666667,0.1783,0.268633333333333
"8",15,0.1,2.916,0.15,0.5,666,"H15_V0.1_L2.916_F0.15_fla0.5",1.16403333333333,0.332,0.520866666666667,0.1698,0.1567,0.0131,8.53526666666667,0.889766666666667,1.33776666666667
"9",15,0.1,2.916,0.15,1,666,"H15_V0.1_L2.916_F0.15_fla1",2.31546666666667,0.6623,1.04026666666667,0.3388,0.3126,0.0262,17.0556666666667,1.7749,2.66133333333333
"10",15,0.1,2.916,0.15,10,666,"H15_V0.1_L2.916_F0.15_fla10",20.9491,6.31703333333333,10.3052333333333,3.2326,2.9704,0.2622,167.3699,16.8823333333333,24.2464333333333
"11",15,0.1,2.916,0.15,20,666,"H15_V0.1_L2.916_F0.15_fla20",37.9961,11.9746666666667,21.6137666666667,6.15296666666667,5.62856666666667,0.5244,330.2244,32.0176333333333,44.8478333333333
"12",15,0.1,2.916,0.15,40,666,"H15_V0.1_L2.916_F0.15_fla40",63.1236666666667,21.7047666666667,44.1939,11.0937666666667,10.0449333333333,1.0488,636.703966666667,57.3181333333333,76.5162666666667
"13",15,0.1,2.916,0.25,0.1,666,"H15_V0.1_L2.916_F0.25_fla0.1",0.233933333333333,0.0665666666666667,0.104133333333333,0.0340333333333333,0.0314333333333333,0.0026,1.7112,0.178333333333333,0.268633333333333
"14",15,0.1,2.916,0.25,0.5,666,"H15_V0.1_L2.916_F0.25_fla0.5",1.16473333333333,0.332166666666667,0.520233333333333,0.1698,0.1567,0.0131,8.55043333333333,0.889933333333333,1.3376
"15",15,0.1,2.916,0.25,1,666,"H15_V0.1_L2.916_F0.25_fla1",2.31726666666667,0.6624,1.03956666666667,0.3388,0.3126,0.0262,17.0864666666667,1.77536666666667,2.66133333333333
"16",15,0.1,2.916,0.25,10,666,"H15_V0.1_L2.916_F0.25_fla10",20.9715333333333,6.34323333333333,10.4799333333333,3.23303333333333,2.97083333333333,0.2622,167.851933333333,16.8904333333333,24.3931666666667
"17",15,0.1,2.916,0.25,20,666,"H15_V0.1_L2.916_F0.25_fla20",38.0613666666667,11.9807,21.5681,6.15556666666667,5.63113333333333,0.5244,330.665266666667,32.0379,44.8650666666667
"18",15,0.1,2.916,0.25,40,666,"H15_V0.1_L2.916_F0.25_fla40",63.259,21.7529333333333,44.3722333333333,11.1009666666667,10.0521333333333,1.0488,637.722266666667,57.3735333333333,76.7749333333333
"19",15,0.1,2.916,0.4,0.1,666,"H15_V0.1_L2.916_F0.4_fla0.1",0.237533333333333,0.0672,0.1044,0.0342666666666667,0.0316333333333333,0.0026,1.73763333333333,0.1796,0.271866666666667
"20",15,0.1,2.916,0.4,0.5,666,"H15_V0.1_L2.916_F0.4_fla0.5",1.1827,0.335333333333333,0.5218,0.171,0.1579,0.0131,8.68233333333333,0.8963,1.35356666666667
"21",15,0.1,2.916,0.4,1,666,"H15_V0.1_L2.916_F0.4_fla1",2.35306666666667,0.6687,1.04246666666667,0.341166666666667,0.314966666666667,0.0262,17.3502333333333,1.7881,2.69313333333333
"22",15,0.1,2.916,0.4,10,666,"H15_V0.1_L2.916_F0.4_fla10",21.2749333333333,6.41746666666667,9.96086666666667,3.25423333333333,2.99203333333333,0.2622,170.076166666667,17.0013666666667,24.34
"23",15,0.1,2.916,0.4,20,666,"H15_V0.1_L2.916_F0.4_fla20",38.6808666666667,12.0909,21.5282666666667,6.20206666666667,5.67763333333333,0.5244,335.454166666667,32.288,45.3474666666667
"24",15,0.1,2.916,0.4,40,666,"H15_V0.1_L2.916_F0.4_fla40",64.3202,22.096,43.4544666666667,11.1896666666667,10.1408666666667,1.0488,646.816633333333,57.8347666666667,77.2093333333333
"25",15,0.1,2.916,0.5,0.1,666,"H15_V0.1_L2.916_F0.5_fla0.1",0.243933333333333,0.0684,0.104566666666667,0.0346333333333333,0.0320333333333333,0.0026,1.77206666666667,0.181533333333333,0.277933333333333
"26",15,0.1,2.916,0.5,0.5,666,"H15_V0.1_L2.916_F0.5_fla0.5",1.21463333333333,0.341133333333333,0.5226,0.1729,0.1598,0.0131,8.85436666666667,0.906,1.3839
"27",15,0.1,2.916,0.5,1,666,"H15_V0.1_L2.916_F0.5_fla1",2.41726666666667,0.679766666666667,1.04513333333333,0.345066666666667,0.318833333333333,0.0262,17.6941666666667,1.80766666666667,2.75393333333333
"28",15,0.1,2.916,0.5,10,666,"H15_V0.1_L2.916_F0.5_fla10",21.8846,6.52963333333333,10.0762333333333,3.29443333333333,3.03223333333333,0.2622,173.552233333333,17.2082666666667,24.9739666666667
"29",15,0.1,2.916,0.5,20,666,"H15_V0.1_L2.916_F0.5_fla20",39.7434333333333,12.3023333333333,21.4766333333333,6.27686666666667,5.75243333333333,0.5244,341.875133333333,32.6740333333333,46.2964666666667
"30",15,0.1,2.916,0.5,40,666,"H15_V0.1_L2.916_F0.5_fla40",66.0962333333333,22.4105666666667,43.5444666666667,11.3325333333333,10.2837333333333,1.0488,659.4331,58.5735,78.7744
"31",15,0.1,2.916,0.65,0.1,666,"H15_V0.1_L2.916_F0.65_fla0.1",0.267633333333333,0.0728666666666667,0.101366666666667,0.0359333333333333,0.0333333333333333,0.0026,1.87146666666667,0.188133333333333,0.299466666666667
"32",15,0.1,2.916,0.65,0.5,666,"H15_V0.1_L2.916_F0.65_fla0.5",1.3328,0.3633,0.507933333333333,0.1794,0.166266666666667,0.0131,9.35313333333333,0.9388,1.49173333333333
"33",15,0.1,2.916,0.65,1,666,"H15_V0.1_L2.916_F0.65_fla1",2.65206666666667,0.724033333333333,1.01743333333333,0.358033333333333,0.3318,0.0262,18.6933333333333,1.8733,2.969
"34",15,0.1,2.916,0.65,10,666,"H15_V0.1_L2.916_F0.65_fla10",24.0381333333333,6.91306666666667,9.7153,3.42683333333333,3.16463333333333,0.2622,183.644233333333,17.8870333333333,26.8018333333333
"35",15,0.1,2.916,0.65,20,666,"H15_V0.1_L2.916_F0.65_fla20",43.6029,13.0371333333333,21.0587333333333,6.53796666666667,6.01353333333333,0.5244,361.121233333333,34.0236,49.7317
"36",15,0.1,2.916,0.65,40,666,"H15_V0.1_L2.916_F0.65_fla40",72.5342,23.5976666666667,42.7029666666667,11.8469,10.7981,1.0488,695.816966666667,61.2119333333333,84.146
"37",15,0.1,2.916,0.75,0.1,666,"H15_V0.1_L2.916_F0.75_fla0.1",0.2947,0.0786666666666667,0.0914333333333333,0.0373333333333333,0.0347,0.0026,1.9768,0.195133333333333,0.3213
"38",15,0.1,2.916,0.75,0.5,666,"H15_V0.1_L2.916_F0.75_fla0.5",1.46673333333333,0.391533333333333,0.4527,0.1863,0.173133333333333,0.0131,9.87196666666667,0.973666666666667,1.5956
"39",15,0.1,2.916,0.75,1,666,"H15_V0.1_L2.916_F0.75_fla1",2.92576666666667,0.779133333333333,0.9555,0.372133333333333,0.345933333333333,0.0262,19.7568,1.94526666666667,3.2102
"40",15,0.1,2.916,0.75,10,666,"H15_V0.1_L2.916_F0.75_fla10",26.576,7.3963,9.79486666666667,3.573,3.3108,0.2622,194.196333333333,18.6487333333333,29.3875666666667
"41",15,0.1,2.916,0.75,20,666,"H15_V0.1_L2.916_F0.75_fla20",48.0694666666667,13.9515333333333,20.4698,6.82236666666667,6.29796666666667,0.5244,381.428166666667,35.5123333333333,53.8182666666667
"42",15,0.1,2.916,0.75,40,666,"H15_V0.1_L2.916_F0.75_fla40",79.7744333333333,25.1400666666667,42.0799333333333,12.3958,11.3469666666667,1.0488,734.7578,64.0842333333333,90.7942333333333
"43",15,0.1,2.916,0.85,0.1,666,"H15_V0.1_L2.916_F0.85_fla0.1",0.3383,0.0869666666666667,0.0891,0.0393333333333333,0.0367,0.0026,2.1153,0.205333333333333,0.365333333333333
"44",15,0.1,2.916,0.85,0.5,666,"H15_V0.1_L2.916_F0.85_fla0.5",1.68376666666667,0.4333,0.4417,0.196266666666667,0.183166666666667,0.0131,10.5675666666667,1.02486666666667,1.8152
"45",15,0.1,2.916,0.85,1,666,"H15_V0.1_L2.916_F0.85_fla1",3.3484,0.8637,0.881033333333333,0.3917,0.3655,0.0262,21.1119666666667,2.04546666666667,3.60826666666667
