H,V,L,F,fla,name,absPAR,absNIR,absTherm,totPs,netPs,totRf,totLE1,totLE2,totH
15,0,0.44,1,27,H15_V0_L0.44_F1_fla27,1758.3139,444.9912,370.69759999999997,182.5644,171.237,11.328,20609.685400000002,144.1022,1426.3376
15,0,1.521,1,27,H15_V0_L1.521_F1_fla27,3572.5499999999997,931.8204000000001,895.5432000000001,395.1572,369.66959999999995,25.488,30057.6487,1078.2288,3526.8144
15,0,2.916,1,27,H15_V0_L2.916_F1_fla27,5528.1984,1498.4384,1639.7888,660.4608,615.1488,45.312,38303.1158,3451.4624,5999.3337
15,0,4.556,1,27,H15_V0_L4.556_F1_fla27,8179.8896,2297.641,2500.2490000000003,1004.1476,933.3516999999999,70.8,72919.5266,6067.8266,8269.2237
15,0,5.402,1,27,H15_V0_L5.402_F1_fla27,9598.0809,2777.2582,2944.9978,1191.2482,1105.5853,85.66799999999999,92400.9317,7198.9111,9489.2485
15,0.1,0.44,1,27,H15_V0.1_L0.44_F1_fla27,1750.0345333333332,443.40673333333336,370.358,182.29836666666665,170.9711,11.328,20559.446133333335,143.89346666666665,1418.5369666666666
15,0.1,1.521,1,27,H15_V0.1_L1.521_F1_fla27,3520.5151666666666,921.8004333333333,892.6906666666666,393.28866666666664,367.80240000000003,25.488,29675.674966666666,1072.8693,3480.2210333333333
15,0.1,2.916,1,27,H15_V0.1_L2.916_F1_fla27,5402.0181,1475.6417,1635.6195666666667,655.0816666666667,609.7726,45.312,37274.484233333336,3421.3344333333334,5894.8437
15,0.1,4.556,1,27,H15_V0.1_L4.556_F1_fla27,8039.2646,2272.736,2515.8051333333333,998.5636333333333,927.7684333333333,70.8,70948.16636666667,6031.910333333333,8203.423066666666
15,0.1,5.402,1,27,H15_V0.1_L5.402_F1_fla27,9328.921766666666,2722.6260333333335,2985.5974666666666,1174.6941666666667,1089.0317333333332,85.66799999999999,89367.6065,7097.797433333333,9328.621666666666
15,0.25,0.44,1,27,H15_V0.25_L0.44_F1_fla27,1737.0554666666667,440.8775333333333,371.2385,181.89136666666667,170.56426666666667,11.328,20480.134366666665,143.5724,1407.1784
15,0.25,1.521,1,27,H15_V0.25_L1.521_F1_fla27,3415.6739666666667,903.1164666666666,899.1339666666667,389.2622,363.7758666666667,25.488,29130.127366666668,1061.3827333333334,3386.2913
15,0.25,2.916,1,27,H15_V0.25_L2.916_F1_fla27,5149.244033333333,1430.67,1655.2910666666667,643.8402666666667,598.5315,45.312,35816.36436666667,3358.6784333333335,5677.727833333333
15,0.25,4.556,1,27,H15_V0.25_L4.556_F1_fla27,7753.302833333333,2220.7622333333334,2550.9331,984.3104,913.5150333333333,70.8,68359.67973333334,5941.637066666666,8006.716733333334
15,0.25,5.402,1,27,H15_V0.25_L5.402_F1_fla27,8726.668466666666,2593.4529333333335,3082.013266666667,1125.2698333333333,1039.6073333333334,85.66799999999999,84023.03693333334,6800.7774,8901.2112
15,0.5,0.44,1,27,H15_V0.5_L0.44_F1_fla27,1704.8011333333334,434.4540666666667,373.6597,180.6745,169.34733333333332,11.328,20321.697766666668,142.6156,1377.2066
15,0.5,1.521,1,27,H15_V0.5_L1.521_F1_fla27,3328.180766666667,886.6705666666667,906.5857666666667,385.7395,360.25303333333335,25.488,28676.7122,1051.3868333333332,3307.9924
15,0.5,2.916,1,27,H15_V0.5_L2.916_F1_fla27,5041.131733333334,1412.4367333333334,1672.7336666666667,640.0436,594.7346333333334,45.312,35092.357299999996,3336.8530666666666,5596.646266666667
15,0.5,4.556,1,27,H15_V0.5_L4.556_F1_fla27,7715.582833333333,2218.0113666666666,2567.6991666666668,981.5397,910.7444,70.8,67448.1866,5926.277133333333,8020.039666666667
15,0.5,5.402,1,27,H15_V0.5_L5.402_F1_fla27,8767.5341,2594.1723333333334,3112.5654,1118.4839333333334,1032.8220666666666,85.66799999999999,81963.15943333333,6764.986333333333,9054.470533333333
