"","H","V","L","F","fla","Tree","name","absPAR","absNIR","absTherm","totPs","netPs","totRf","totLE1","totLE2","totH"
"1",15,0,0.44,0.01,0.1,105,"H15_V0_L0.44_F0.01_fla0.1",0.3943,0.0965,0.0837,0.042,0.0393,0.0026,4.6926,0.0331,0.3117
"2",15,0,0.44,0.15,0.1,105,"H15_V0_L0.44_F0.15_fla0.1",0.4365,0.1046,0.0801,0.0432,0.0406,0.0026,4.8823,0.0341,0.3511
"3",15,0,0.44,0.25,0.1,105,"H15_V0_L0.44_F0.25_fla0.1",0.4619,0.1091,0.0709,0.0439,0.0413,0.0026,4.9523,0.0346,0.3718
"4",15,0,0.44,0.4,0.1,105,"H15_V0_L0.44_F0.4_fla0.1",0.487,0.1137,0.0721,0.0446,0.0419,0.0026,5.0381,0.0351,0.3983
"5",15,0,0.44,0.5,0.1,105,"H15_V0_L0.44_F0.5_fla0.1",0.4927,0.1148,0.0721,0.0447,0.0421,0.0026,5.0558,0.0352,0.4043
"6",15,0,0.44,0.65,0.1,105,"H15_V0_L0.44_F0.65_fla0.1",0.5048,0.1173,0.0721,0.045,0.0423,0.0026,5.1132,0.0354,0.4162
"7",15,0,0.44,0.75,0.1,105,"H15_V0_L0.44_F0.75_fla0.1",0.5171,0.1198,0.0721,0.0453,0.0426,0.0026,5.1709,0.0356,0.4285
"8",15,0,0.44,0.85,0.1,105,"H15_V0_L0.44_F0.85_fla0.1",0.5294,0.1224,0.0721,0.0455,0.0429,0.0026,5.2295,0.0358,0.4407
"9",15,0,0.44,0.95,0.1,105,"H15_V0_L0.44_F0.95_fla0.1",0.5428,0.1251,0.0721,0.0458,0.0432,0.0026,5.2899,0.036,0.4542
"10",15,0,0.44,1,0.1,105,"H15_V0_L0.44_F1_fla0.1",0.5488,0.1264,0.0721,0.046,0.0433,0.0026,5.3132,0.0361,0.4605
"11",15,0,0.44,1.05,0.1,105,"H15_V0_L0.44_F1.05_fla0.1",0.554,0.1275,0.0721,0.0461,0.0434,0.0026,5.3312,0.0362,0.4659
"12",15,0,0.44,1.15,0.1,105,"H15_V0_L0.44_F1.15_fla0.1",0.5602,0.1287,0.0721,0.0462,0.0436,0.0026,5.349,0.0363,0.4725
"13",15,0,0.44,1.25,0.1,105,"H15_V0_L0.44_F1.25_fla0.1",0.5612,0.1263,0.0579,0.0462,0.0436,0.0026,5.3079,0.0363,0.4632
"14",15,0,0.44,1.35,0.1,105,"H15_V0_L0.44_F1.35_fla0.1",0.5612,0.1263,0.0579,0.0462,0.0436,0.0026,5.311,0.0363,0.463
"15",15,0,0.44,1.5,0.1,105,"H15_V0_L0.44_F1.5_fla0.1",0.5612,0.1263,0.0579,0.0462,0.0436,0.0026,5.3178,0.0363,0.4627
"16",15,0,0.44,1.6,0.1,105,"H15_V0_L0.44_F1.6_fla0.1",0.5612,0.1263,0.0579,0.0462,0.0436,0.0026,5.3203,0.0363,0.4626
"17",15,0,0.44,1.75,0.1,105,"H15_V0_L0.44_F1.75_fla0.1",0.5612,0.1263,0.0579,0.0462,0.0436,0.0026,5.3216,0.0363,0.4626
"18",15,0,0.44,1.85,0.1,105,"H15_V0_L0.44_F1.85_fla0.1",0.5584,0.1302,0.0702,0.0462,0.0435,0.0026,5.3575,0.0363,0.4712
"19",15,0,0.44,1.99,0.1,105,"H15_V0_L0.44_F1.99_fla0.1",0.5584,0.1302,0.0702,0.0462,0.0435,0.0026,5.3624,0.0363,0.471
"20",15,0,1.521,0.01,0.1,351,"H15_V0_L1.521_F0.01_fla0.1",0.3084,0.0806,0.0924,0.0383,0.0357,0.0026,2.72,0.1045,0.304
"21",15,0,1.521,0.15,0.1,351,"H15_V0_L1.521_F0.15_fla0.1",0.3161,0.0818,0.0929,0.0386,0.036,0.0026,2.7314,0.1053,0.3126
"22",15,0,1.521,0.25,0.1,351,"H15_V0_L1.521_F0.25_fla0.1",0.3233,0.0833,0.0929,0.039,0.0364,0.0026,2.7491,0.1062,0.3206
"23",15,0,1.521,0.4,0.1,351,"H15_V0_L1.521_F0.4_fla0.1",0.3295,0.0845,0.0929,0.0393,0.0367,0.0026,2.7714,0.107,0.327
"24",15,0,1.521,0.5,0.1,351,"H15_V0_L1.521_F0.5_fla0.1",0.3381,0.0863,0.0929,0.0397,0.037,0.0026,2.8249,0.108,0.335
"25",15,0,1.521,0.65,0.1,351,"H15_V0_L1.521_F0.65_fla0.1",0.3619,0.0912,0.0929,0.0406,0.0379,0.0026,2.9222,0.1104,0.3593
"26",15,0,1.521,0.75,0.1,351,"H15_V0_L1.521_F0.75_fla0.1",0.3879,0.0961,0.0901,0.0415,0.0389,0.0026,3.0152,0.1129,0.3842
"27",15,0,1.521,0.85,0.1,351,"H15_V0_L1.521_F0.85_fla0.1",0.4223,0.1021,0.0739,0.0426,0.04,0.0026,3.1261,0.1158,0.4088
"28",15,0,1.521,0.95,0.1,351,"H15_V0_L1.521_F0.95_fla0.1",0.4707,0.1117,0.0761,0.044,0.0414,0.0026,3.2671,0.1195,0.4618
"29",15,0,1.521,1,0.1,351,"H15_V0_L1.521_F1_fla0.1",0.4937,0.1161,0.0771,0.0446,0.042,0.0026,3.316,0.1211,0.4877
"30",15,0,1.521,1.05,0.1,351,"H15_V0_L1.521_F1.05_fla0.1",0.5159,0.1206,0.0777,0.0452,0.0425,0.0026,3.3497,0.1226,0.5131
"31",15,0,1.521,1.15,0.1,351,"H15_V0_L1.521_F1.15_fla0.1",0.547,0.127,0.0777,0.0459,0.0433,0.0026,3.3804,0.1245,0.5493
