Program:    MAESPA                                                                          
Water balance parameters:Tumbarumba example water balance                       
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      0      0     2880.0002      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000
      1      1     2880.0139      1380.0021         0.0956         0.0267         0.0020         0.0000         0.0669         0.0000         0.0000         0.0036         0.0000        -0.0109         0.0000         0.0010         0.0501         0.4000         1.0000         9.5061       -34.5361       -35.5759        60.6067       349.8695       336.3755        88.7952         3.4105         6.6077         7.3168         7.2468        11.9687         0.3994         0.4001         0.0000
      1      2     2880.0339      1380.0110         0.1008         0.0519         0.0050         0.0000         0.0706         0.0000         0.0000         0.0036         0.0000        -0.0109         0.0000         0.0010         0.0462         0.4000         1.0000        27.1389       -31.8602       -34.8463        39.5714       348.8155       335.3319        75.1052         3.9925         6.6077         7.1056         6.9039        10.7820         0.3989         0.4001         0.0000
      1      3     2880.0610      1380.0254         0.1052         0.0756         0.0079         0.0000         0.0736         0.0000         0.0000         0.0036         0.0000        -0.0109         0.0000         0.0010         0.0433         0.4000         1.0000        32.2109       -29.9186       -34.5519        32.2636       347.7546       334.2916        74.6259         4.1483         6.6077         6.8929         6.6508        10.0900         0.3984         0.4002         0.0000
      1      4     2880.0991      1380.0494         0.1189         0.1004         0.0109         0.0000         0.0832         0.0000         0.0000         0.0036         0.0000        -0.0108         0.0000         0.0010         0.0418         0.4000         1.0000        34.9849       -28.8527       -34.3738        28.2458       346.9720       333.5106        74.2539         4.2107         6.6077         6.7355         6.4720         9.6612         0.3981         0.4003         0.0000
      1      5     2880.1379      1380.0743         0.1189         0.1224         0.0136         0.0000         0.0832         0.0000         0.0000         0.0036         0.0000        -0.0108         0.0000         0.0010         0.0404         0.4000         1.0000        35.9376       -27.8684       -34.2403        26.1716       346.2206       332.7639        74.0135         4.2361         6.6077         6.5790         6.3079         9.3647         0.3977         0.4004         0.0000
      1      6     2880.1526      1380.0792         0.0844         0.1323         0.0155         0.0000         0.0591         0.0000         0.0000         0.0036         0.0000        -0.0108         0.0000         0.0010         0.0409         0.4000         1.0000        27.3006       -28.2765       -23.0802        24.0599       359.2021       345.7291        73.7426        17.3271         6.6077         6.4899         6.2811         9.1877         0.3973         0.4005         0.0000
      1      7     2879.8772      1379.7970         0.0581         0.1081         0.0416         0.0000         0.0407         0.2784         0.0000         0.0036         0.0000        -0.0108         2.9637         0.0010         0.0340         0.4000         1.0000       107.4971       -23.4736      -110.3818        26.3605       253.8840       402.3554       217.5872        58.6120         6.6077         6.6359         5.8080         8.8885         0.3959         0.3997         3.2273
      1      8     2879.3853      1379.2957         0.0800         0.0702         0.0619         0.0000         0.0560         0.5192         0.0000         0.0036         0.0000        -0.0109         2.9635         0.0010         0.0251         0.3999         1.0000       226.2888       -17.3428      -236.7384        27.7947       102.5568       508.3166       443.4005       139.0802         6.6077         7.0751         5.3210         8.5507         0.3941         0.3983         3.3013
      1      9     2878.7170      1378.6168         0.0877         0.0389         0.0577        -0.0000         0.0614         0.7089         0.0000         0.0036         0.0000        -0.0109         2.9632         0.0010         0.0176         0.3998         1.0000       349.2033       -12.1554      -364.3287        27.2832       -49.0659       636.8689       685.0873       235.8996         6.6077         7.7190         5.0436         8.2769         0.3919         0.3963         3.1480
