Program:    MAESPA                                                                          
Water balance parameters:Example water balance parameters.                      
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      0      0      388.4601      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000
      1      1      390.6440       196.4140         3.2107         0.8989         0.1247         0.2606         2.1870         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       342.0307       336.3755       181.4545       336.3755        14.8356         7.3168         8.4827         8.4827         0.2161         0.1942         0.0000
      1      2      390.7780       196.5480         0.0000         0.1143         0.6477         0.1370         0.1370         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       340.9822       335.3319       181.5194       335.3319        14.8356         7.1056         8.2984         8.2984         0.2173         0.1943         0.0000
      1      3      390.7750       196.5449         0.0000         0.0144         0.0998         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       339.9338       334.2916       182.5695       334.2916        14.8356         6.8929         8.1480         8.1480         0.2172         0.1944         0.0000
      1      4      390.7719       196.5419         0.0000         0.0019         0.0125         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       339.1524       333.5106       182.5040       333.5106        14.8356         6.7355         8.0077         8.0077         0.2171         0.1945         0.0000
      1      5      390.7689       196.5389         0.0000         0.0003         0.0016         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       338.4031       332.7639       182.4706       332.7639        14.8356         6.5790         7.8687         7.8687         0.2170         0.1945         0.0000
      1      6      390.7659       196.5359         0.0000         0.0000         0.0002         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       351.3751       345.7291       181.2126       345.7291        14.8356         6.4899         7.7463         7.7463         0.2169         0.1946         0.0000
      1      7      390.7628       196.5328         0.0000         0.0000         0.0000         0.0000         0.0000         0.4140         0.0000         0.0030         0.0000         0.0000         1.9973         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       108.1783       402.3554       457.1909       387.0192        14.8356         6.6359         7.6979         7.6979         0.2168         0.1947         6.4338
      1      8      390.7598       196.5298         0.0000         0.0000         0.0000         0.0000         0.0000         0.7865         0.0000         0.0030         0.0000         0.0000         1.9973         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -291.3316       508.3166       908.2455       468.7839        14.8356         7.0751         7.8396         7.8396         0.2167         0.1948         6.7835
      1      9      390.7568       196.5268         0.0000         0.0000         0.0000         0.0000         0.0000         1.1854         0.0000         0.0030         0.0000         0.0000         1.9973         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -803.9243       636.8689      1477.3488       568.3821        14.8356         7.7190         8.2171         8.2171         0.2166         0.1948         6.9915
