Program:    MAESPA                                                                          
Water balance parameters:Example water balance parameters.                      
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      0      0      388.4601      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000
      1      1      388.4570       194.2270         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       337.6734       336.3755         0.0000       336.3755         0.0000         7.3168         8.4827         8.4827         0.1942         0.1942         0.0000
      1      2      388.4540       194.2240         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       336.6286       335.3319         0.0000       335.3319         0.0000         7.1056         8.2984         8.2984         0.1942         0.1942         0.0000
      1      3      388.4510       194.2209         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       335.5864       334.2916         0.0000       334.2916         0.0000         6.8929         8.1480         8.1480         0.1941         0.1942         0.0000
      1      4      388.4479       194.2179         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       334.8051       333.5106         0.0000       333.5106         0.0000         6.7355         8.0077         8.0077         0.1941         0.1942         0.0000
      1      5      388.4449       194.2149         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       334.0583       332.7639         0.0000       332.7639         0.0000         6.5790         7.8687         7.8687         0.1941         0.1942         0.0000
      1      6      390.6929       196.4629         3.2107         0.9572         0.0025         0.3246         2.2510         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       347.0250       345.7291         0.0000       345.7291         0.0000         6.4899         7.7463         7.7463         0.2166         0.1942         0.0000
      1      7      390.8893       196.6592         0.0000         0.1927         0.5650         0.1994         0.1994         0.0000         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       389.4594       402.3554         0.0001       388.0734         0.0000         6.6359         7.6979         7.6979         0.2184         0.1943         0.0000
      1      8      390.8863       196.6562         0.0000         0.0347         0.1580         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       473.6323       508.3166         0.0003       471.6828         0.0000         7.0751         7.8396         7.8396         0.2183         0.1944         0.0000
      1      9      390.8832       196.6532         0.0000         0.0053         0.0294         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       575.8209       636.8689         0.0004       572.9682         0.0000         7.7190         8.2171         8.2171         0.2182         0.1945         0.0000
      1     10      390.8802       196.6502         0.0000         0.0006         0.0047         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       669.2449       753.3649         0.0005       665.8428         0.0000         8.4408         8.8662         8.8662         0.2181         0.1946         0.0000
      1     11      390.8772       196.6471         0.0000         0.0000         0.0005         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       731.2791       830.0387         0.0006       727.6691         0.0000         9.1161         9.8758         9.8758         0.2180         0.1946         0.0000
      1     12      390.8741       196.6441         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       759.4760       864.4938         0.0006       755.8131         0.0000         9.6553        10.6129        10.6129         0.2179         0.1947         0.0000
      1     13      390.8711       196.6411         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       748.7940       850.4918         0.0006       745.2506         0.0000        10.1003        11.1931        11.1931         0.2178         0.1948         0.0000
      1     14      390.8681       196.6380         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       717.7389       811.4905         0.0006       714.1967         0.0000        10.3990        11.6157        11.6157         0.2176         0.1949         0.0000
      1     15      390.8651       196.6350         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       644.7477       719.8866         0.0005       641.5687         0.0000        10.4982        11.7530        11.7530         0.2175         0.1950         0.0000
      1     16      390.8620       196.6320         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       570.5263       627.3082         0.0004       567.3582         0.0000        10.5000        11.5940        11.5940         0.2174         0.1951         0.0000
      1     17      390.8590       196.6290         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       475.7017       508.5925         0.0003       472.8712         0.0000        10.2365        11.3242        11.3242         0.2173         0.1951         0.0000
      1     18      390.8560       196.6259         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       411.8268       426.2272         0.0001       410.5285         0.0000         9.7440        10.8646        10.8646         0.2172         0.1952         0.0000
      1     19      390.8529       196.6229         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       350.6374       365.0396         0.0000       349.3409         0.0000         9.2091        10.3776        10.3776         0.2171         0.1953         0.0000
      1     20      390.8499       196.6199         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       329.7428       344.1430         0.0000       328.4443         0.0000         8.7691         9.9132         9.9132         0.2170         0.1954         0.0000
      1     21      390.8469       196.6169         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       327.6452       342.0455         0.0000       326.3468         0.0000         8.4448         9.5089         9.5089         0.2169         0.1954         0.0000
      1     22      390.8438       196.6138         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       326.1431       340.5409         0.0000       324.8422         0.0000         8.1525         9.1809         9.1809         0.2168         0.1955         0.0000
      1     23      390.8408       196.6108         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       324.5622       338.9617         0.0000       323.2630         0.0000         7.8358         8.9078         8.9078         0.2167         0.1956         0.0000
      1     24      390.8378       196.6078         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       323.1541       337.5533         0.0000       321.8546         0.0000         7.5553         8.6743         8.6743         0.2166         0.1957         0.0000
