"","H","V","L","F","Tree","name","absPAR","absNIR","absTherm","totPs","netPs","totRf","totLE1","totLE2","totH"
"1",15,0,0.466,0.01,105,"H15_V0_L0.466_F0.01",116.9797,34.0401,45.8314,16.5013,15.2526,1.2486,2099.3389,13.0319,76.6402
"2",15,0,0.466,0.15,105,"H15_V0_L0.466_F0.15",128.3491,36.3238,45.0911,17.2168,15.9682,1.2486,2194.0537,13.5969,85.5579
"3",15,0,0.466,0.25,105,"H15_V0_L0.466_F0.25",133.5187,37.36,44.7232,17.5446,16.296,1.2486,2235.1091,13.8532,89.6786
"4",15,0,0.466,0.4,105,"H15_V0_L0.466_F0.4",136.8072,38.0083,43.9014,17.7249,16.4763,1.2486,2256.8394,13.9937,92.102
"5",15,0,0.466,0.5,105,"H15_V0_L0.466_F0.5",136.8828,38.0296,43.5837,17.6993,16.4507,1.2486,2255.3235,13.9736,92.0664
"6",15,0,0.466,0.65,105,"H15_V0_L0.466_F0.65",141.3111,38.9124,43.5025,17.909,16.6604,1.2486,2288.499,14.1395,95.8306
"7",15,0,0.466,0.75,105,"H15_V0_L0.466_F0.75",145.7733,39.822,43.0425,18.1331,16.8845,1.2486,2321.5374,14.3162,99.4279
"8",15,0,0.466,0.85,105,"H15_V0_L0.466_F0.85",150.4607,40.7627,42.9761,18.3582,17.1095,1.2486,2355.8948,14.4939,103.4688
"9",15,0,0.466,0.95,105,"H15_V0_L0.466_F0.95",155.0412,41.7561,42.5503,18.5668,17.3182,1.2486,2388.5422,14.6577,107.3332
"10",15,0,0.466,1,105,"H15_V0_L0.466_F1",157.1192,42.1982,42.5155,18.6703,17.4217,1.2486,2403.7695,14.739,109.1569
"11",15,0,0.466,1.05,105,"H15_V0_L0.466_F1.05",159.1378,42.6021,42.372,18.7699,17.5213,1.2486,2417.928,14.817,110.8511
