H,V,L,F,fla,Tree,name,absPAR,absNIR,absTherm,totPs,netPs,totRf,totLE1,totLE2,totH
15,0,0.466,0.01,0.1,105,H15_V0_L0.466_F0.01_fla0.1,0.3968,0.0959,0.0766,0.042,0.0394,0.0026,5.4344,0.0331,0.2757
15,0,0.466,0.15,0.1,105,H15_V0_L0.466_F0.15_fla0.1,0.4389,0.1041,0.0741,0.0433,0.0407,0.0026,5.672,0.0341,0.3136
15,0,0.466,0.25,0.1,105,H15_V0_L0.466_F0.25_fla0.1,0.4568,0.1077,0.0736,0.0438,0.0412,0.0026,5.7671,0.0345,0.3305
15,0,0.466,0.4,0.1,105,H15_V0_L0.466_F0.4_fla0.1,0.4679,0.1098,0.0727,0.0441,0.0414,0.0026,5.8188,0.0347,0.3407
15,0,0.466,0.5,0.1,105,H15_V0_L0.466_F0.5_fla0.1,0.4686,0.1099,0.0725,0.0441,0.0414,0.0026,5.8221,0.0347,0.3414
15,0,0.466,0.65,0.1,105,H15_V0_L0.466_F0.65_fla0.1,0.4841,0.1127,0.0702,0.0444,0.0418,0.0026,5.901,0.035,0.3545
15,0,0.466,0.75,0.1,105,H15_V0_L0.466_F0.75_fla0.1,0.5006,0.1159,0.0675,0.0449,0.0422,0.0026,5.9836,0.0353,0.3688
15,0,0.466,0.85,0.1,105,H15_V0_L0.466_F0.85_fla0.1,0.5169,0.1188,0.0654,0.0452,0.0426,0.0026,6.0634,0.0356,0.3829
15,0,0.466,0.95,0.1,105,H15_V0_L0.466_F0.95_fla0.1,0.5337,0.1229,0.065,0.0456,0.043,0.0026,6.1523,0.0359,0.3998
15,0,0.466,1,0.1,105,H15_V0_L0.466_F1_fla0.1,0.5415,0.1246,0.0647,0.0458,0.0432,0.0026,6.1914,0.036,0.4075
15,0,0.466,1.05,0.1,105,H15_V0_L0.466_F1.05_fla0.1,0.5486,0.1262,0.0647,0.046,0.0433,0.0026,6.2265,0.0361,0.4145
15,0,0.466,1.15,0.1,105,H15_V0_L0.466_F1.15_fla0.1,0.5573,0.128,0.0647,0.0461,0.0435,0.0026,6.2685,0.0363,0.4231
15,0,0.466,1.25,0.1,105,H15_V0_L0.466_F1.25_fla0.1,0.5595,0.1284,0.0647,0.0462,0.0436,0.0026,6.2805,0.0363,0.4252
15,0,0.466,1.35,0.1,105,H15_V0_L0.466_F1.35_fla0.1,0.5595,0.1284,0.0647,0.0462,0.0436,0.0026,6.2837,0.0363,0.425
15,0,0.466,1.5,0.1,105,H15_V0_L0.466_F1.5_fla0.1,0.5595,0.1284,0.0647,0.0462,0.0436,0.0026,6.2897,0.0363,0.4248
15,0,0.466,1.6,0.1,105,H15_V0_L0.466_F1.6_fla0.1,0.5595,0.1284,0.0647,0.0462,0.0436,0.0026,6.2916,0.0363,0.4247
15,0,0.466,1.75,0.1,105,H15_V0_L0.466_F1.75_fla0.1,0.558,0.1289,0.0638,0.0461,0.0435,0.0026,6.2869,0.0363,0.4237
15,0,0.466,1.85,0.1,105,H15_V0_L0.466_F1.85_fla0.1,0.558,0.1289,0.0639,0.0461,0.0435,0.0026,6.2884,0.0363,0.4236
15,0,0.466,1.99,0.1,105,H15_V0_L0.466_F1.99_fla0.1,0.5581,0.1288,0.0639,0.0462,0.0435,0.0026,6.2917,0.0363,0.4235
15,0,1.488,0.01,0.1,313,H15_V0_L1.488_F0.01_fla0.1,0.2751,0.0733,0.093,0.0365,0.0339,0.0026,4.0298,0.0922,0.2053
15,0,1.488,0.15,0.1,313,H15_V0_L1.488_F0.15_fla0.1,0.2768,0.0734,0.0912,0.0366,0.034,0.0026,4.0219,0.0923,0.2062
15,0,1.488,0.25,0.1,313,H15_V0_L1.488_F0.25_fla0.1,0.2771,0.0735,0.0912,0.0366,0.034,0.0026,4.0267,0.0924,0.2064
15,0,1.488,0.4,0.1,313,H15_V0_L1.488_F0.4_fla0.1,0.2816,0.0747,0.0893,0.0369,0.0343,0.0026,4.0649,0.0931,0.2093
15,0,1.488,0.5,0.1,313,H15_V0_L1.488_F0.5_fla0.1,0.2956,0.0771,0.088,0.0376,0.035,0.0026,4.1661,0.0949,0.2201
15,0,1.488,0.65,0.1,313,H15_V0_L1.488_F0.65_fla0.1,0.3267,0.0827,0.0844,0.039,0.0364,0.0026,4.3548,0.0984,0.2458
15,0,1.488,0.75,0.1,313,H15_V0_L1.488_F0.75_fla0.1,0.3561,0.0882,0.0798,0.0402,0.0376,0.0026,4.5242000000000004,0.1013,0.2702
15,0,1.488,0.85,0.1,313,H15_V0_L1.488_F0.85_fla0.1,0.3967,0.0963,0.0761,0.0417,0.0391,0.0026,4.7556,0.1049,0.3061
15,0,1.488,0.95,0.1,313,H15_V0_L1.488_F0.95_fla0.1,0.4498,0.1068,0.0717,0.0434,0.0408,0.0026,5.0272,0.109,0.3546
15,0,1.488,1,0.1,313,H15_V0_L1.488_F1_fla0.1,0.4754,0.1119,0.0685,0.0441,0.0415,0.0026,5.1398,0.1108,0.3782
15,0,1.488,1.05,0.1,313,H15_V0_L1.488_F1.05_fla0.1,0.5026,0.1174,0.0668,0.0448,0.0422,0.0026,5.2525,0.1125,0.4047
15,0,1.488,1.15,0.1,313,H15_V0_L1.488_F1.15_fla0.1,0.539,0.125,0.0644,0.0457,0.0431,0.0026,5.3826,0.1147,0.4416
15,0,1.488,1.25,0.1,313,H15_V0_L1.488_F1.25_fla0.1,0.5546,0.1287,0.0633,0.0461,0.0435,0.0026,5.4378,0.1156,0.4578
15,0,1.488,1.35,0.1,313,H15_V0_L1.488_F1.35_fla0.1,0.5561,0.1295,0.0627,0.0461,0.0435,0.0026,5.4592,0.1156,0.459
15,0,1.488,1.5,0.1,313,H15_V0_L1.488_F1.5_fla0.1,0.5553,0.1298,0.0621,0.0461,0.0435,0.0026,5.4831,0.1156,0.4572
15,0,1.488,1.6,0.1,313,H15_V0_L1.488_F1.6_fla0.1,0.5552,0.1299,0.062,0.0461,0.0435,0.0026,5.4924,0.1156,0.4567
15,0,1.488,1.75,0.1,313,H15_V0_L1.488_F1.75_fla0.1,0.5548,0.13,0.0617,0.0461,0.0435,0.0026,5.499,0.1156,0.456
15,0,1.488,1.85,0.1,313,H15_V0_L1.488_F1.85_fla0.1,0.5548,0.13,0.0617,0.0461,0.0435,0.0026,5.4986,0.1156,0.4561
15,0,1.488,1.99,0.1,313,H15_V0_L1.488_F1.99_fla0.1,0.5546,0.1301,0.0615,0.0461,0.0435,0.0026,5.5022,0.1156,0.4557
15,0,2.916,0.01,0.1,613,H15_V0_L2.916_F0.01_fla0.1,0.1674,0.0533,0.1128,0.0286,0.026,0.0026,2.6758,0.1421,0.1517
15,0,2.916,0.15,0.1,613,H15_V0_L2.916_F0.15_fla0.1,0.168,0.0535,0.1126,0.0287,0.026,0.0026,2.6846,0.1425,0.1519
15,0,2.916,0.25,0.1,613,H15_V0_L2.916_F0.25_fla0.1,0.1701,0.0537,0.112,0.0289,0.0263,0.0026,2.7019,0.1436,0.15310000000000001
15,0,2.916,0.4,0.1,613,H15_V0_L2.916_F0.4_fla0.1,0.174,0.0544,0.1105,0.0292,0.0266,0.0026,2.7304,0.1454,0.1553
