"","H","V","L","F","fla","Tree","name","absPAR","absNIR","absTherm","totPs","netPs","totRf","totLE1","totLE2","totH"
"1",15,0,0.44,0.01,27,105,"H15_V0_L0.44_F0.01_fla27",80.1278,21.7746,24.8536,10.1964,9.4884,0.708,1133.8824,8.0541,61.3394
"2",15,0,0.44,0.15,27,105,"H15_V0_L0.44_F0.15_fla27",88.277,23.3775,24.5288,10.5779,9.8699,0.708,1181.5815,8.3541,68.725
"3",15,0,0.44,0.25,27,105,"H15_V0_L0.44_F0.25_fla27",93.4895,24.4245,24.5544,10.8094,10.1014,0.708,1207.5123,8.5353,73.8339
"4",15,0,0.44,0.4,27,105,"H15_V0_L0.44_F0.4_fla27",98.156,25.3531,24.3228,10.9989,10.291,0.708,1227.0535,8.6835,78.3975
"5",15,0,0.44,0.5,27,105,"H15_V0_L0.44_F0.5_fla27",99.079,25.4508,22.5139,11.0282,10.3203,0.708,1225.7421,8.7053,78.2877
"6",15,0,0.44,0.65,27,105,"H15_V0_L0.44_F0.65_fla27",101.454,25.9137,22.1754,11.1126,10.4046,0.708,1238.4899,8.7717,80.3322
"7",15,0,0.44,0.75,27,105,"H15_V0_L0.44_F0.75_fla27",103.8259,26.4675,22.6933,11.1989,10.491,0.708,1253.7109,8.8402,82.9306
"8",15,0,0.44,0.85,27,105,"H15_V0_L0.44_F0.85_fla27",106.2825,27.0719,23.5158,11.2863,10.5784,0.708,1269.8033,8.9096,85.8332
"9",15,0,0.44,0.95,27,105,"H15_V0_L0.44_F0.95_fla27",108.7723,27.5785,23.2351,11.3705,10.6625,0.708,1282.9939,8.9753,88.0599
"10",15,0,0.44,1,27,105,"H15_V0_L0.44_F1_fla27",109.8985,27.8112,23.1708,11.4104,10.7024,0.708,1288.2593,9.0065,89.1433
"11",15,0,0.44,1.05,27,105,"H15_V0_L0.44_F1.05_fla27",110.8694,28.0182,22.9274,11.445,10.7371,0.708,1292.0092,9.0334,90.0001
"12",15,0,0.44,1.15,27,105,"H15_V0_L0.44_F1.15_fla27",112.0486,28.2612,22.9274,11.4869,10.7789,0.708,1296.3705,9.0663,91.2277
"13",15,0,0.44,1.25,27,105,"H15_V0_L0.44_F1.25_fla27",112.3554,28.3293,22.9205,11.4973,10.7894,0.708,1297.4706,9.0745,91.5508
"14",15,0,0.44,1.35,27,105,"H15_V0_L0.44_F1.35_fla27",112.3265,28.3454,22.8887,11.4966,10.7887,0.708,1297.8666,9.074,91.508
"15",15,0,0.44,1.5,27,105,"H15_V0_L0.44_F1.5_fla27",112.2654,28.3809,22.8164,11.4947,10.7867,0.708,1298.823,9.0724,91.411
"16",15,0,0.44,1.6,27,105,"H15_V0_L0.44_F1.6_fla27",112.2583,28.3854,22.8071,11.4944,10.7865,0.708,1299.2205,9.0722,91.3869
"17",15,0,0.44,1.75,27,105,"H15_V0_L0.44_F1.75_fla27",112.2457,28.3924,22.7932,11.4941,10.7862,0.708,1299.4742,9.072,91.3646
"18",15,0,0.44,1.85,27,105,"H15_V0_L0.44_F1.85_fla27",112.2608,28.384,22.8098,11.4945,10.7866,0.708,1299.8683,9.0723,91.3602
"19",15,0,0.44,1.99,27,105,"H15_V0_L0.44_F1.99_fla27",112.2308,28.4006,22.7767,11.4938,10.7859,0.708,1300.6426,9.0718,91.2993
"20",15,0,1.521,0.01,27,351,"H15_V0_L1.521_F0.01_fla27",62.9851,18.5313,28.0795,9.1809,8.4729,0.708,686.9774,24.9802,63.096
"21",15,0,1.521,0.15,27,351,"H15_V0_L1.521_F0.15_fla27",64.4321,18.8341,28.012,9.2763,8.5683,0.708,690.0527,25.2335,64.662
"22",15,0,1.521,0.25,27,351,"H15_V0_L1.521_F0.25_fla27",65.9267,19.1086,27.6578,9.3772,8.6692,0.708,693.6442,25.4991,66.0267
"23",15,0,1.521,0.4,27,351,"H15_V0_L1.521_F0.4_fla27",67.1597,19.3671,27.6784,9.46,8.752,0.708,699.024,25.716,67.2923
"24",15,0,1.521,0.5,27,351,"H15_V0_L1.521_F0.5_fla27",68.8347,19.7025,27.6098,9.5506,8.8427,0.708,711.5286,25.9689,68.6977
"25",15,0,1.521,0.65,27,351,"H15_V0_L1.521_F0.65_fla27",73.5284,20.6825,25.5022,9.8081,9.1001,0.708,733.4807,26.6742,72.0258
"26",15,0,1.521,0.75,27,351,"H15_V0_L1.521_F0.75_fla27",78.6913,21.6182,24.7435,10.0684,9.3604,0.708,756.7056,27.3937,76.5546
"27",15,0,1.521,0.85,27,351,"H15_V0_L1.521_F0.85_fla27",85.7677,23.1359,25.1652,10.3962,9.6883,0.708,790.5991,28.316,83.9264
"28",15,0,1.521,0.95,27,351,"H15_V0_L1.521_F0.95_fla27",95.0343,25.0194,24.949,10.7996,10.0917,0.708,823.3726,29.4508,93.462
"29",15,0,1.521,1,27,351,"H15_V0_L1.521_F1_fla27",99.2375,25.8839,24.8762,10.9766,10.2686,0.708,835.0638,29.9508,97.9613
