Program:    MAESPA                                                                          
Water balance parameters:Example water balance parameters.                      
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      0      0      388.4601      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000
      1      1      388.4570       194.2270         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       345.4731       336.3755         0.0152       336.3755         0.0012         7.3168         8.4827         8.4827         0.1942         0.1942         0.0000
      1      2      388.4540       194.2240         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       344.4226       335.3319         0.0152       335.3319         0.0012         7.1056         8.2984         8.2984         0.1942         0.1942         0.0000
      1      3      388.4510       194.2209         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       343.3688       334.2916         0.0152       334.2916         0.0012         6.8929         8.1480         8.1480         0.1941         0.1942         0.0000
      1      4      388.4479       194.2179         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       342.5865       333.5106         0.0152       333.5106         0.0012         6.7355         8.0077         8.0077         0.1941         0.1942         0.0000
      1      5      388.4449       194.2149         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       341.8366       332.7639         0.0152       332.7639         0.0012         6.5790         7.8687         7.8687         0.1941         0.1942         0.0000
      1      6      388.4419       194.2119         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       354.8127       345.7291         0.0151       345.7291         0.0012         6.4899         7.7463         7.7463         0.1940         0.1942         0.0000
      1      7      388.4388       194.2088         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       396.1652       402.3554         0.0438       386.4759         0.0012         6.6359         7.6979         7.6979         0.1940         0.1942         0.0007
      1      8      388.4358       194.2058         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       480.9557       508.3166         0.0871       467.3625         0.0012         7.0751         7.8396         7.8396         0.1940         0.1942         0.0007
      1      9      390.6838       196.4538         3.2107         0.9572         0.0025         0.3246         2.2510         0.0001         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       586.1133       636.8689         0.1335       566.2394         0.0012         7.7190         8.2171         8.2171         0.2165         0.1942         0.0006
      1     10      390.8463       196.6162         0.0000         0.1185         0.6732         0.1654         0.1654         0.0001         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       682.6870       753.3649         0.1670       658.9965         0.0012         8.4408         8.8662         8.8662         0.2180         0.1943         0.0006
      1     11      390.8432       196.6132         0.0000         0.0095         0.1091         0.0000         0.0000         0.0001         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       747.0305       830.0387         0.1859       721.9020         0.0012         9.1161         9.8758         9.8758         0.2179         0.1944         0.0006
      1     12      390.8402       196.6102         0.0000         0.0006         0.0089         0.0000         0.0000         0.0001         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       776.3190       864.4938         0.1935       750.8236         0.0012         9.6553        10.6129        10.6129         0.2178         0.1945         0.0005
      1     13      390.8372       196.6071         0.0000         0.0000         0.0006         0.0000         0.0000         0.0002         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       764.5174       850.4918         0.1905       739.8558         0.0012        10.1003        11.1931        11.1931         0.2177         0.1946         0.0005
      1     14      390.8341       196.6041         0.0000         0.0000         0.0000         0.0000         0.0000         0.0002         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       732.6301       811.4905         0.1810       707.9681         0.0012        10.3990        11.6157        11.6157         0.2176         0.1946         0.0006
      1     15      390.8311       196.6011         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       656.7170       719.8866         0.1565       634.5762         0.0012        10.4982        11.7530        11.7530         0.2175         0.1947         0.0006
