Program:    MAESPA                                                                          
Water balance parameters:Example water balance parameters.                      
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      0      0      388.4601      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000
      1      1      388.4570       194.2270         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       343.6953       336.3755       182.0099       336.3755        14.8800         7.3168         8.4827         8.4827         0.1942         0.1942         0.0000
      1      2      388.4540       194.2240         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       342.6459       335.3319       181.9508       335.3319        14.8800         7.1056         8.2984         8.2984         0.1942         0.1942         0.0000
      1      3      390.6383       196.4082         3.2107         0.8992         0.1242         0.2609         2.1873         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       341.5947       334.2916       182.7127       334.2916        14.8800         6.8929         8.1480         8.1480         0.2160         0.1942         0.0000
      1      4      390.7777       196.5477         0.0000         0.1290         0.6277         0.1425         0.1425         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       340.8131       333.5106       182.5711       333.5106        14.8800         6.7355         8.0077         8.0077         0.2173         0.1943         0.0000
      1      5      390.7747       196.5446         0.0000         0.0178         0.1112         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       340.0636       332.7639       182.4587       332.7639        14.8800         6.5790         7.8687         7.8687         0.2172         0.1944         0.0000
      1      6      390.7717       196.5416         0.0000         0.0025         0.0153         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       353.0375       345.7291       181.3579       345.7291        14.8800         6.4899         7.7463         7.7463         0.2171         0.1945         0.0000
      1      7      390.7686       196.5386         0.0000         0.0002         0.0024         0.0000         0.0000         0.4923         0.0000         0.0030         0.0000         0.0000         1.9973         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000        18.8346       402.3554       549.1088       386.5966        14.8800         6.6359         7.6979         7.6979         0.2170         0.1945         8.5266
      1      8      390.7656       196.5356         0.0000         0.0000         0.0002         0.0000         0.0000         0.9310         0.0000         0.0030         0.0000         0.0000         1.9973         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -517.9233       508.3166      1139.9141       467.6332        14.8800         7.0751         7.8396         7.8396         0.2169         0.1946         8.8331
      1      9      390.7626       196.5325         0.0000         0.0000         0.0000         0.0000         0.0000         1.3456         0.0000         0.0030         0.0000         0.0000         1.9973         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000     -1072.0603       636.8689      1754.0554       566.4983        14.8800         7.7190         8.2171         8.2171         0.2168         0.1947         8.3638
      1     10      390.7596       196.5295         0.0000         0.0000         0.0000         0.0000         0.0000         1.6610         0.0000         0.0030         0.0000         0.0000         1.9973         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000     -1423.5411       753.3649      2177.2793       658.8702        14.8800         8.4408         8.8662         8.8662         0.2167         0.1948         7.6958
      1     11      390.7565       196.5265         0.0000         0.0000         0.0000         0.0000         0.0000         1.9028         0.0000         0.0030         0.0000         0.0000         1.9972         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000     -1650.0306       830.0387      2467.8892       721.3578        14.8800         9.1161         9.8758         9.8758         0.2166         0.1948         7.4563
      1     12      390.7535       196.5235         0.0000         0.0000         0.0000         0.0000         0.0000         2.0381         0.0000         0.0030         0.0000         0.0000         1.9972         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000     -1741.4089       864.4938      2592.1616       750.0470        14.8800         9.6553        10.6129        10.6129         0.2165         0.1949         7.3639
      1     13      390.7505       196.5204         0.0000         0.0000         0.0000         0.0000         0.0000         2.0695         0.0000         0.0030         0.0000         0.0000         1.9972         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000     -1707.4182       850.4918      2556.5808       739.2330        14.8800        10.1003        11.1931        11.1931         0.2164         0.1950         7.4769
      1     14      390.7474       196.5174         0.0000         0.0000         0.0000         0.0000         0.0000         2.0413         0.0000         0.0030         0.0000         0.0000         1.9972         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000     -1631.3778       811.4905      2452.8159       707.5923        14.8800        10.3990        11.6157        11.6157         0.2163         0.1951         7.7578
      1     15      390.7444       196.5144         0.0000         0.0000         0.0000         0.0000         0.0000         1.8540         0.0000         0.0030         0.0000         0.0000         1.9972         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000     -1368.3083       719.8866      2132.1406       634.6768        14.8800        10.4982        11.7530        11.7530         0.2162         0.1951         8.3096
      1     16      390.7414       196.5113         0.0000         0.0000         0.0000         0.0000         0.0000         1.6449         0.0000         0.0030         0.0000         0.0000         1.9972         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000     -1114.0109       627.3082      1800.5837       560.6820        14.8800        10.5000        11.5940        11.5940         0.2161         0.1952         9.1693
      1     17      390.7383       196.5083         0.0000         0.0000         0.0000         0.0000         0.0000         1.2180         0.0000         0.0030         0.0000         0.0000         1.9972         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -612.4062       508.5925      1218.3820       468.0174        14.8800        10.2365        11.3242        11.3242         0.2159         0.1953        10.0905
      1     18      390.7353       196.5053         0.0000         0.0000         0.0000         0.0000         0.0000         0.6495         0.0000         0.0030         0.0000         0.0000         1.9971         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000        13.5006       426.2272       591.9449       408.9894        14.8800         9.7440        10.8646        10.8646         0.2158         0.1954         8.2885
      1     19      390.7323       196.5022         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9971         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       355.1154       365.0396       188.4731       347.8018        14.8800         9.2091        10.3776        10.3776         0.2157         0.1954         0.0000
      1     20      390.7292       196.4992         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9971         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       334.2303       344.1430       186.3435       326.9052        14.8800         8.7691         9.9132         9.9132         0.2156         0.1955         0.0000
      1     21      390.7262       196.4962         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9971         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       332.1315       342.0455       183.4633       324.8077        14.8800         8.4448         9.5089         9.5089         0.2155         0.1956         0.0000
      1     22      390.7232       196.4932         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9971         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       330.6404       340.5409       181.5843       323.3031        14.8800         8.1525         9.1809         9.1809         0.2154         0.1956         0.0000
      1     23      390.7202       196.4901         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9971         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       329.0529       338.9617       181.5714       321.7239        14.8800         7.8358         8.9078         8.9078         0.2153         0.1957         0.0000
      1     24      390.7171       196.4871         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9971         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       327.6440       337.5533       181.6903       320.3155        14.8800         7.5553         8.6743         8.6743         0.2152         0.1958         0.0000
