Program:    MAESPA                                                                          
Water balance parameters:Example water balance parameters.                      
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      0      0      388.4601      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000
      1      1      388.4570       194.2270         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       342.8432       336.3755        89.6250       336.3755         7.3750         7.3168         8.4827         8.4827         0.1942         0.1942         0.0000
      1      2      390.6723       196.4423         3.2107         0.9295         0.0628         0.2919         2.2183         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       341.7943       335.3319        89.6224       335.3319         7.3750         7.1056         8.2984         8.2984         0.2164         0.1942         0.0000
      1      3      390.8310       196.6009         0.0000         0.1522         0.6157         0.1616         0.1616         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       340.7444       334.2916        90.0648       334.2916         7.3750         6.8929         8.1480         8.1480         0.2179         0.1943         0.0000
      1      4      390.8279       196.5979         0.0000         0.0241         0.1281         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       339.9623       333.5106        90.0102       333.5106         7.3750         6.7355         8.0077         8.0077         0.2178         0.1944         0.0000
      1      5      390.8249       196.5949         0.0000         0.0040         0.0201         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       339.2136       332.7639        89.9712       332.7639         7.3750         6.5790         7.8687         7.8687         0.2176         0.1945         0.0000
      1      6      390.8219       196.5918         0.0000         0.0007         0.0033         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       352.1865       345.7291        89.3876       345.7291         7.3750         6.4899         7.7463         7.7463         0.2175         0.1946         0.0000
      1      7      390.8188       196.5888         0.0000         0.0001         0.0006         0.0000         0.0000         0.2344         0.0000         0.0030         0.0000         0.0000         1.9987         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       227.5132       402.3554       251.5290       386.9514         7.3750         6.6359         7.6979         7.6979         0.2174         0.1946         3.7700
      1      8      390.8158       196.5858         0.0000         0.0000         0.0001         0.0000         0.0000         0.4462         0.0000         0.0030         0.0000         0.0000         1.9987         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000        18.6567       508.3166       528.8206       468.6134         7.3750         7.0751         7.8396         7.8396         0.2173         0.1947         4.0739
      1      9      390.8128       196.5827         0.0000         0.0000         0.0000         0.0000         0.0000         0.6141         0.0000         0.0030         0.0000         0.0000         1.9987         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -167.0185       636.8689       795.2949       568.2181         7.3750         7.7190         8.2171         8.2171         0.2172         0.1948         3.7854
      1     10      390.8098       196.5797         0.0000         0.0000         0.0000         0.0000         0.0000         0.7329         0.0000         0.0030         0.0000         0.0000         1.9987         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -244.6732       753.3649       955.8857       661.0082         7.3750         8.4408         8.8662         8.8662         0.2171         0.1949         3.3713
      1     11      390.8067       196.5767         0.0000         0.0000         0.0000         0.0000         0.0000         0.8499         0.0000         0.0030         0.0000         0.0000         1.9987         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -332.9120       830.0387      1107.9700       723.5205         7.3750         9.1161         9.8758         9.8758         0.2170         0.1949         3.3451
      1     12      390.8037       196.5737         0.0000         0.0000         0.0000         0.0000         0.0000         0.9363         0.0000         0.0030         0.0000         0.0000         1.9987         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -400.6401       864.4938      1206.6913       752.1711         7.3750         9.6553        10.6129        10.6129         0.2169         0.1950         3.4335
      1     13      390.8007       196.5706         0.0000         0.0000         0.0000         0.0000         0.0000         0.9611         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -392.1862       850.4918      1192.0812       741.3892         7.3750        10.1003        11.1931        11.1931         0.2168         0.1951         3.4908
      1     14      390.7976       196.5676         0.0000         0.0000         0.0000         0.0000         0.0000         0.9467         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -355.1499       811.4905      1125.5142       709.7811         7.3750        10.3990        11.6157        11.6157         0.2167         0.1952         3.5592
      1     15      390.7946       196.5646         0.0000         0.0000         0.0000         0.0000         0.0000         0.8635         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -252.4213       719.8866       956.9854       636.6429         7.3750        10.4982        11.7530        11.7530         0.2165         0.1952         3.7160
      1     16      390.7916       196.5616         0.0000         0.0000         0.0000         0.0000         0.0000         0.7610         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -147.7006       627.3082       776.2194       562.3986         7.3750        10.5000        11.5940        11.5940         0.2164         0.1953         3.9216
      1     17      390.7885       196.5585         0.0000         0.0000         0.0000         0.0000         0.0000         0.5472         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000        62.7458       508.5925       478.1624       469.0890         7.3750        10.2365        11.3242        11.3242         0.2163         0.1954         3.8432
      1     18      390.7855       196.5555         0.0000         0.0000         0.0000         0.0000         0.0000         0.3227         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       233.9838       426.2272       274.9965       409.3722         7.3750         9.7440        10.8646        10.8646         0.2162         0.1955         3.7384
      1     19      390.7825       196.5525         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       354.6466       365.0396        92.8572       348.1847         7.3750         9.2091        10.3776        10.3776         0.2161         0.1955         0.0000
      1     20      390.7795       196.5494         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       333.7603       344.1430        91.7673       327.2880         7.3750         8.7691         9.9132         9.9132         0.2160         0.1956         0.0000
