Program:    MAESPA                                                                          
Water balance parameters:Example water balance parameters.                      
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      0      0      388.4601      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000
      1      1      388.4570       194.2270         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       345.1283       336.3755       142.2775       336.3755        12.0777         7.3168         8.4827         8.4827         0.1942         0.1942         0.0000
      1      2      388.4540       194.2240         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       344.0779       335.3319       142.1375       335.3319        12.0777         7.1056         8.2984         8.2984         0.1942         0.1942         0.0000
      1      3      388.4510       194.2209         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       343.0245       334.2916       142.5298       334.2916        12.0777         6.8929         8.1480         8.1480         0.1941         0.1942         0.0000
      1      4      388.4479       194.2179         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       342.2424       333.5106       142.3583       333.5106        12.0777         6.7355         8.0077         8.0077         0.1941         0.1942         0.0000
      1      5      388.4449       194.2149         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       341.4926       332.7639       142.2091       332.7639        12.0777         6.5790         7.8687         7.8687         0.1941         0.1942         0.0000
      1      6      390.6432       196.4132         3.2107         0.9135         0.0958         0.2749         2.2014         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       354.4683       345.7291       141.4450       345.7291        12.0777         6.4899         7.7463         7.7463         0.2161         0.1942         0.0000
      1      7      390.7714       196.5413         0.0000         0.0821         0.7002         0.1311         0.1311         0.4240         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000        67.0612       402.3554       464.2315       386.1932        12.0777         6.6359         7.6979         7.6979         0.2173         0.1943         7.4570
      1      8      390.7683       196.5383         0.0000         0.0022         0.0800         0.0000         0.0000         0.7850         0.0000         0.0030         0.0000         0.0000         1.9978         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -375.2678       508.3166       966.9062       466.5543        12.0777         7.0751         7.8396         7.8396         0.2172         0.1944         7.5721
      1      9      390.7653       196.5353         0.0000         0.0000         0.0021         0.0000         0.0000         1.1522         0.0000         0.0030         0.0000         0.0000         1.9978         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -880.6460       636.8689      1541.1184       564.6860        12.0777         7.7190         8.2171         8.2171         0.2171         0.1945         7.4061
      1     10      390.7623       196.5322         0.0000         0.0000         0.0000         0.0000         0.0000         1.4420         0.0000         0.0030         0.0000         0.0000         1.9978         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000     -1220.5708       753.3649      1957.3492       656.7133        12.0777         8.4408         8.8662         8.8662         0.2169         0.1945         6.9684
      1     11      390.7592       196.5292         0.0000         0.0000         0.0000         0.0000         0.0000         1.6207         0.0000         0.0030         0.0000         0.0000         1.9978         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000     -1369.4916       830.0387      2169.1094       719.2487        12.0777         9.1161         9.8758         9.8758         0.2168         0.1946         6.5921
      1     12      390.7562       196.5262         0.0000         0.0000         0.0000         0.0000         0.0000         1.7244         0.0000         0.0030         0.0000         0.0000         1.9978         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000     -1427.1371       864.4938      2258.2429       748.0403        12.0777         9.6553        10.6129        10.6129         0.2167         0.1947         6.4513
      1     13      390.7532       196.5231         0.0000         0.0000         0.0000         0.0000         0.0000         1.7554         0.0000         0.0030         0.0000         0.0000         1.9978         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000     -1402.8125       850.4918      2229.8379       737.1879        12.0777        10.1003        11.1931        11.1931         0.2166         0.1948         6.5621
      1     14      390.7502       196.5201         0.0000         0.0000         0.0000         0.0000         0.0000         1.7374         0.0000         0.0030         0.0000         0.0000         1.9978         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000     -1344.7214       811.4905      2142.6794       705.4467        12.0777        10.3990        11.6157        11.6157         0.2165         0.1948         6.8236
      1     15      390.7471       196.5171         0.0000         0.0000         0.0000         0.0000         0.0000         1.5782         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000     -1113.2881       719.8866      1850.1624       632.5937        12.0777        10.4982        11.7530        11.7530         0.2164         0.1949         7.2663
      1     16      390.7441       196.5141         0.0000         0.0000         0.0000         0.0000         0.0000         1.3819         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -859.7606       627.3082      1520.9116       558.8994        12.0777        10.5000        11.5940        11.5940         0.2163         0.1950         7.7926
      1     17      390.7411       196.5110         0.0000         0.0000         0.0000         0.0000         0.0000         1.0102         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -412.4916       508.5925       991.0216       466.9133        12.0777        10.2365        11.3242        11.3242         0.2162         0.1951         8.2503
      1     18      390.7380       196.5080         0.0000         0.0000         0.0000         0.0000         0.0000         0.5667         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000        62.0590       426.2272       503.3633       408.5453        12.0777         9.7440        10.8646        10.8646         0.2161         0.1951         7.3117
      1     19      390.7350       196.5050         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       355.7159       365.0396       147.4239       346.9703        12.0777         9.2091        10.3776        10.3776         0.2160         0.1952         0.0000
      1     20      390.7320       196.5019         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       334.8328       344.1430       145.8096       326.0737        12.0777         8.7691         9.9132         9.9132         0.2159         0.1953         0.0000
