Program:    MAESPA                                                                          
Water balance parameters:Example water balance parameters.                      
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      0      0      388.4601      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000
      1      1      388.4570       194.2270         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       347.8147       336.3755       160.0433       336.3755        11.8576         7.3168         8.4827         8.4827         0.1942         0.1942         0.0000
      1      2      388.4540       194.2240         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       346.7621       335.3319       159.8882       335.3319        11.8576         7.1056         8.2984         8.2984         0.1942         0.1942         0.0000
      1      3      390.6456       196.4155         3.2107         0.9068         0.1093         0.2682         2.1946         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       345.7047       334.2916       160.2168       334.2916        11.8576         6.8929         8.1480         8.1480         0.2161         0.1942         0.0000
      1      4      390.7908       196.5608         0.0000         0.1354         0.6230         0.1483         0.1483         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       344.9222       333.5106       160.0492       333.5106        11.8576         6.7355         8.0077         8.0077         0.2175         0.1943         0.0000
      1      5      390.7878       196.5578         0.0000         0.0195         0.1159         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       344.1712       332.7639       159.8964       332.7639        11.8576         6.5790         7.8687         7.8687         0.2174         0.1944         0.0000
      1      6      390.7848       196.5547         0.0000         0.0029         0.0166         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       357.1505       345.7291       159.2050       345.7291        11.8576         6.4899         7.7463         7.7463         0.2172         0.1945         0.0000
      1      7      390.7817       196.5517         0.0000         0.0003         0.0026         0.0000         0.0000         0.1996         0.0000         0.0030         0.0000         0.0000         1.9979         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       280.8722       402.3554       272.1479       385.2455        11.8576         6.6359         7.6979         7.6979         0.2171         0.1945         2.4776
      1      8      390.7787       196.5487         0.0000         0.0000         0.0003         0.0000         0.0000         0.3743         0.0000         0.0030         0.0000         0.0000         1.9979         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       193.5399       508.3166       431.5451       464.1105        11.8576         7.0751         7.8396         7.8396         0.2170         0.1946         2.3757
      1      9      390.7757       196.5457         0.0000         0.0000         0.0000         0.0000         0.0000         0.5272         0.0000         0.0030         0.0000         0.0000         1.9978         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       108.7712       636.8689       604.3163       560.3884        11.8576         7.7190         8.2171         8.2171         0.2169         0.1947         2.2330
      1     10      390.7727       196.5426         0.0000         0.0000         0.0000         0.0000         0.0000         0.6774         0.0000         0.0030         0.0000         0.0000         1.9978         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000        30.0981       753.3649       770.8162       651.2599        11.8576         8.4408         8.8662         8.8662         0.2168         0.1948         2.2115
      1     11      390.7696       196.5396         0.0000         0.0000         0.0000         0.0000         0.0000         0.8056         0.0000         0.0030         0.0000         0.0000         1.9978         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       -31.0527       830.0387       898.9823       713.5282        11.8576         9.1161         9.8758         9.8758         0.2167         0.1949         2.2510
      1     12      390.7666       196.5366         0.0000         0.0000         0.0000         0.0000         0.0000         0.9058         0.0000         0.0030         0.0000         0.0000         1.9978         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       -92.5099       864.4938       993.0086       742.4039        11.8576         9.6553        10.6129        10.6129         0.2166         0.1949         2.3789
      1     13      390.7636       196.5335         0.0000         0.0000         0.0000         0.0000         0.0000         0.9672         0.0000         0.0030         0.0000         0.0000         1.9978         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -143.3918       850.4918      1036.8732       731.5515        11.8576        10.1003        11.1931        11.1931         0.2165         0.1950         2.5908
      1     14      390.7606       196.5305         0.0000         0.0000         0.0000         0.0000         0.0000         0.9791         0.0000         0.0030         0.0000         0.0000         1.9978         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -165.2391       811.4905      1029.4371       699.7707        11.8576        10.3990        11.6157        11.6157         0.2164         0.1951         2.7958
      1     15      390.7575       196.5275         0.0000         0.0000         0.0000         0.0000         0.0000         0.8333         0.0000         0.0030         0.0000         0.0000         1.9978         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       -25.5765       719.8866       820.8451       627.5213        11.8576        10.4982        11.7530        11.7530         0.2163         0.1951         2.6371
      1     16      390.7545       196.5245         0.0000         0.0000         0.0000         0.0000         0.0000         0.6588         0.0000         0.0030         0.0000         0.0000         1.9978         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       115.1189       627.3082       605.3022       554.8217        11.8576        10.5000        11.5940        11.5940         0.2162         0.1952         2.3541
      1     17      390.7515       196.5214         0.0000         0.0000         0.0000         0.0000         0.0000         0.4826         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       193.3554       508.5925       438.4245       464.5927        11.8576        10.2365        11.3242        11.3242         0.2161         0.1953         2.5510
      1     18      390.7484       196.5184         0.0000         0.0000         0.0000         0.0000         0.0000         0.2747         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       290.0577       426.2272       294.4836       407.4919        11.8576         9.7440        10.8646        10.8646         0.2160         0.1954         2.4840
      1     19      390.7454       196.5154         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       356.7232       365.0396       164.9103       345.2939        11.8576         9.2091        10.3776        10.3776         0.2159         0.1954         0.0000
      1     20      390.7424       196.5123         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       335.8446       344.1430       163.4187       324.3972        11.8576         8.7691         9.9132         9.9132         0.2158         0.1955         0.0000
      1     21      390.7393       196.5093         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       333.7451       342.0455       161.5111       322.2997        11.8576         8.4448         9.5089         9.5089         0.2157         0.1956         0.0000
      1     22      390.7363       196.5063         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       332.2610       340.5409       160.2520       320.7951        11.8576         8.1525         9.1809         9.1809         0.2156         0.1956         0.0000
      1     23      390.7333       196.5033         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       330.6691       338.9617       160.0646       319.2159        11.8576         7.8358         8.9078         8.9078         0.2155         0.1957         0.0000
      1     24      390.7303       196.5002         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       329.2599       337.5533       159.9903       317.8075        11.8576         7.5553         8.6743         8.6743         0.2154         0.1958         0.0000
