Program:    MAESPA                                                                          
Water balance parameters:Example water balance parameters.                      
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      0      0      388.4601      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000
      1      1      388.4570       194.2270         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       348.9460       336.3755       139.2413       336.3755        11.9423         7.3168         8.4827         8.4827         0.1942         0.1942         0.0000
      1      2      388.4540       194.2240         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       347.8925       335.3319       138.9167       335.3319        11.9423         7.1056         8.2984         8.2984         0.1942         0.1942         0.0000
      1      3      388.4510       194.2209         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       346.8334       334.2916       138.8302       334.2916        11.9423         6.8929         8.1480         8.1480         0.1941         0.1942         0.0000
      1      4      390.6499       196.4199         3.2107         0.9141         0.0946         0.2756         2.2020         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       346.0508       333.5106       138.5540       333.5106        11.9423         6.7355         8.0077         8.0077         0.2161         0.1942         0.0000
      1      5      390.8053       196.5753         0.0000         0.1468         0.6089         0.1584         0.1584         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       345.2994       332.7639       138.2925       332.7639        11.9423         6.5790         7.8687         7.8687         0.2176         0.1943         0.0000
      1      6      390.8023       196.5723         0.0000         0.0227         0.1241         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       358.2802       345.7291       137.8314       345.7291        11.9423         6.4899         7.7463         7.7463         0.2175         0.1944         0.0000
      1      7      390.7993       196.5692         0.0000         0.0022         0.0205         0.0000         0.0000         0.3225         0.0000         0.0030         0.0000         0.0000         1.9979         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       175.8422       402.3554       357.0928       384.8808        11.9423         6.6359         7.6979         7.6979         0.2174         0.1945         4.9118
      1      8      390.7963       196.5662         0.0000         0.0001         0.0021         0.0000         0.0000         0.6055         0.0000         0.0030         0.0000         0.0000         1.9979         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -101.0962       508.3166       702.2363       463.1595        11.9423         7.0751         7.8396         7.8396         0.2173         0.1945         5.0282
      1      9      390.7932       196.5632         0.0000         0.0000         0.0001         0.0000         0.0000         0.8908         0.0000         0.0030         0.0000         0.0000         1.9979         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -430.3882       636.8689      1112.0657       558.7151        11.9423         7.7190         8.2171         8.2171         0.2172         0.1946         5.0067
      1     10      390.7902       196.5602         0.0000         0.0000         0.0000         0.0000         0.0000         1.1211         0.0000         0.0030         0.0000         0.0000         1.9978         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -650.6179       753.3649      1414.9963       649.2088        11.9423         8.4408         8.8662         8.8662         0.2171         0.1947         4.7554
      1     11      390.7872       196.5571         0.0000         0.0000         0.0000         0.0000         0.0000         1.2657         0.0000         0.0030         0.0000         0.0000         1.9978         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -740.2953       830.0387      1567.1865       711.4376        11.9423         9.1161         9.8758         9.8758         0.2169         0.1948         4.5085
      1     12      390.7841       196.5541         0.0000         0.0000         0.0000         0.0000         0.0000         1.3491         0.0000         0.0030         0.0000         0.0000         1.9978         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -769.7108       864.4938      1627.2283       740.3729        11.9423         9.6553        10.6129        10.6129         0.2168         0.1949         4.4043
      1     13      390.7811       196.5511         0.0000         0.0000         0.0000         0.0000         0.0000         1.3723         0.0000         0.0030         0.0000         0.0000         1.9978         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -745.7653       850.4918      1596.3580       729.5056        11.9423        10.1003        11.1931        11.1931         0.2167         0.1949         4.4478
      1     14      390.7781       196.5480         0.0000         0.0000         0.0000         0.0000         0.0000         1.3498         0.0000         0.0030         0.0000         0.0000         1.9978         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -697.9498       811.4905      1518.2720       697.6752        11.9423        10.3990        11.6157        11.6157         0.2166         0.1950         4.5703
      1     15      390.7751       196.5450         0.0000         0.0000         0.0000         0.0000         0.0000         1.2281         0.0000         0.0030         0.0000         0.0000         1.9978         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -556.4958       719.8866      1311.2394       625.5910        11.9423        10.4982        11.7530        11.7530         0.2165         0.1951         4.8499
      1     16      390.7720       196.5420         0.0000         0.0000         0.0000         0.0000         0.0000         1.0712         0.0000         0.0030         0.0000         0.0000         1.9978         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -394.7144       627.3082      1076.2550       553.2220        11.9423        10.5000        11.5940        11.5940         0.2164         0.1952         5.1575
      1     17      390.7690       196.5390         0.0000         0.0000         0.0000         0.0000         0.0000         0.7777         0.0000         0.0030         0.0000         0.0000         1.9978         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -111.9718       508.5925       708.8556       463.6749        11.9423        10.2365        11.3242        11.3242         0.2163         0.1952         5.4025
      1     18      390.7660       196.5359         0.0000         0.0000         0.0000         0.0000         0.0000         0.4365         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       177.3511       426.2272       387.2694       407.0871        11.9423         9.7440        10.8646        10.8646         0.2162         0.1953         4.8488
      1     19      390.7629       196.5329         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       358.2439       365.0396       143.9615       345.6843        11.9423         9.2091        10.3776        10.3776         0.2161         0.1954         0.0000
      1     20      390.7599       196.5299         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       337.3671       344.1430       142.6605       324.7876        11.9423         8.7691         9.9132         9.9132         0.2160         0.1954         0.0000
      1     21      390.7569       196.5268         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       335.2675       342.0455       141.3665       322.6902        11.9423         8.4448         9.5089         9.5089         0.2159         0.1955         0.0000
      1     22      390.7538       196.5238         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       333.7855       340.5409       140.3638       321.1855        11.9423         8.1525         9.1809         9.1809         0.2158         0.1956         0.0000
      1     23      390.7508       196.5208         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       332.1924       338.9617       139.8927       319.6063        11.9423         7.8358         8.9078         8.9078         0.2157         0.1957         0.0000
      1     24      390.7478       196.5178         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       330.7830       337.5533       139.4968       318.1979        11.9423         7.5553         8.6743         8.6743         0.2156         0.1957         0.0000
